dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,cermissoes,Grupo Cermissoes,pos_2022,REN_1000,40,274917,558,88675.75,26602.725000000002,340883,0.0020297035105140823,163.6925279348046,0.26013544236585573,0.00018227230345208793,False,True
economico,Grupo Econômico,cermoful,Grupo Cermoful,operacional_2023_plus,REN_1000,38,131992,189,43333.56,13684.282105263155,177252,0.0014319049639372084,106.62785187191119,0.24447430776521561,8.751181584713929e-05,False,True
economico,Grupo Econômico,cermoful,Grupo Cermoful,pos_2022,REN_1000,38,131992,189,43333.56,13684.282105263155,177252,0.0014319049639372084,106.62785187191119,0.24447430776521561,8.751181584713929e-05,False,True
economico,Grupo Econômico,cernhe,Grupo Cernhe,operacional_2023_plus,REN_1000,40,35873,54,859.81,257.943,56010,0.0015053104005798234,96.411355115158,0.015351008748437778,2.378410335387317e-05,False,True
economico,Grupo Econômico,cernhe,Grupo Cernhe,pos_2022,REN_1000,40,35873,54,859.81,257.943,56010,0.0015053104005798234,96.411355115158,0.015351008748437778,2.378410335387317e-05,False,True
economico,Grupo Econômico,cerpalo,Grupo Cerpalo,operacional_2023_plus,REN_1000,40,295009,31,0.0,0.0,216297,0.00010508153988522384,14.332145152267485,0.0,0.00019559346991672764,False,True
economico,Grupo Econômico,cerpalo,Grupo Cerpalo,pos_2022,REN_1000,40,295009,31,0.0,0.0,216297,0.00010508153988522384,14.332145152267485,0.0,0.00019559346991672764,False,True
economico,Grupo Econômico,cerpro,Grupo Cerpro,operacional_2023_plus,REN_1000,40,13735,8,711.51,213.45299999999997,26515,0.0005824535857298871,30.171600980577033,0.026834244767112953,9.106421530550776e-06,False,True
economico,Grupo Econômico,cerpro,Grupo Cerpro,pos_2022,REN_1000,40,13735,8,711.51,213.45299999999997,26515,0.0005824535857298871,30.171600980577033,0.026834244767112953,9.106421530550776e-06,False,True
economico,Grupo Econômico,cerrp,Grupo Cerrp,operacional_2023_plus,REN_1000,40,45821,25,0.0,0.0,66314,0.0005456013618209991,37.69942998461863,0.0,3.0379711754740962e-05,False,True
economico,Grupo Econômico,cerrp,Grupo Cerrp,pos_2022,REN_1000,40,45821,25,0.0,0.0,66314,0.0005456013618209991,37.69942998461863,0.0,3.0379711754740962e-05,False,True
economico,Grupo Econômico,cersad,Grupo Cersad,operacional_2023_plus,REN_1000,40,5519,19,1572.73,471.81899999999996,17925,0.0034426526544663887,105.99721059972106,0.087739470013947,3.6591438243254267e-06,False,True
economico,Grupo Econômico,cersad,Grupo Cersad,pos_2022,REN_1000,40,5519,19,1572.73,471.81899999999996,17925,0.0034426526544663887,105.99721059972106,0.087739470013947,3.6591438243254267e-06,False,True
economico,Grupo Econômico,cersul,Grupo Cersul,operacional_2023_plus,REN_1000,40,226570,44,7816.93,2345.0789999999997,241262,0.00019420046784658163,18.23743482189487,0.03240017076870788,0.00015021783226624603,False,True
economico,Grupo Econômico,cersul,Grupo Cersul,pos_2022,REN_1000,40,226570,44,7816.93,2345.0789999999997,241262,0.00019420046784658163,18.23743482189487,0.03240017076870788,0.00015021783226624603,False,True
economico,Grupo Econômico,certaja,Grupo Certaja,operacional_2023_plus,REN_1000,38,213117,197,13139.83,4149.42,316205,0.0009243748738955597,62.30135513353678,0.041554782498695465,0.00014129837912824097,False,True
economico,Grupo Econômico,certaja,Grupo Certaja,pos_2022,REN_1000,38,213117,197,13139.83,4149.42,316205,0.0009243748738955597,62.30135513353678,0.041554782498695465,0.00014129837912824097,False,True
economico,Grupo Econômico,certel,Grupo Certel,operacional_2023_plus,REN_1000,40,502364,342,169510.38,50853.114,955970,0.0006807812661735316,35.77518122953649,0.1773176773329707,0.00033307159415898145,False,True
economico,Grupo Econômico,certel,Grupo Certel,pos_2022,REN_1000,40,502364,342,169510.38,50853.114,955970,0.0006807812661735316,35.77518122953649,0.1773176773329707,0.00033307159415898145,False,True
economico,Grupo Econômico,certhil,Grupo Certhil,operacional_2023_plus,REN_1000,40,75847,68,5146.43,1543.929,51685,0.0008965417221511728,131.56621843861856,0.09957299022927349,5.0287204501469586e-05,False,True
economico,Grupo Econômico,certhil,Grupo Certhil,pos_2022,REN_1000,40,75847,68,5146.43,1543.929,51685,0.0008965417221511728,131.56621843861856,0.09957299022927349,5.0287204501469586e-05,False,True
economico,Grupo Econômico,certrel,Grupo Certrel,operacional_2023_plus,REN_1000,40,38970,73,4890.820000000001,1467.246,60693,0.0018732358224275083,120.27746198078856,0.08058293378149047,2.583744062945495e-05,False,True
economico,Grupo Econômico,certrel,Grupo Certrel,pos_2022,REN_1000,40,38970,73,4890.820000000001,1467.246,60693,0.0018732358224275083,120.27746198078856,0.08058293378149047,2.583744062945495e-05,False,True
economico,Grupo Econômico,cervam,Grupo Cervam,operacional_2023_plus,REN_1000,40,36129,40,250.14,75.042,59025,0.001107143845664148,67.76789495976281,0.004237865311308767,2.3953833525829557e-05,False,True
economico,Grupo Econômico,cervam,Grupo Cervam,pos_2022,REN_1000,40,36129,40,250.14,75.042,59025,0.001107143845664148,67.76789495976281,0.004237865311308767,2.3953833525829557e-05,False,True
economico,Grupo Econômico,cetril,Grupo Cetril,operacional_2023_plus,REN_1000,40,355183,144,5645.27,1693.5810000000001,417343,0.00040542480918287195,34.50399311837026,0.013526691474398757,0.00023548934244525783,False,True
economico,Grupo Econômico,cetril,Grupo Cetril,pos_2022,REN_1000,40,355183,144,5645.27,1693.5810000000001,417343,0.00040542480918287195,34.50399311837026,0.013526691474398757,0.00023548934244525783,False,True
economico,Grupo Econômico,chesp,Grupo Chesp,operacional_2023_plus,REN_1000,40,151333,523,634.71,190.413,264959,0.003455954748799006,197.38903000086805,0.0023955027004178005,0.00010033506294014129,False,True
economico,Grupo Econômico,chesp,Grupo Chesp,pos_2022,REN_1000,40,151333,523,634.71,190.413,264959,0.003455954748799006,197.38903000086805,0.0023955027004178005,0.00010033506294014129,False,True
economico,Grupo Econômico,cocel,Grupo Cocel,operacional_2023_plus,REN_1000,39,710935,396,96934.64,29826.043076923073,767765,0.0005570129477378381,51.57828241714587,0.1262556120687971,0.0004713559367180281,False,True
economico,Grupo Econômico,cocel,Grupo Cocel,pos_2022,REN_1000,39,710935,396,96934.64,29826.043076923073,767765,0.0005570129477378381,51.57828241714587,0.1262556120687971,0.0004713559367180281,False,True
economico,Grupo Econômico,codesam,Grupo Codesam,operacional_2023_plus,REN_1000,7,540,0,0.0,0.0,4485,0.0,0.0,0.0,3.580245814705074e-07,False,True
economico,Grupo Econômico,codesam,Grupo Codesam,pos_2022,REN_1000,7,540,0,0.0,0.0,4485,0.0,0.0,0.0,3.580245814705074e-07,False,True
economico,Grupo Econômico,coopera,Grupo Coopera,operacional_2023_plus,REN_1000,40,327093,306,49463.68,14839.104000000001,325842,0.000935513752969339,93.91054560185611,0.15180265281946465,0.0002168654341239494,False,True
economico,Grupo Econômico,coopera,Grupo Coopera,pos_2022,REN_1000,40,327093,306,49463.68,14839.104000000001,325842,0.000935513752969339,93.91054560185611,0.15180265281946465,0.0002168654341239494,False,True
economico,Grupo Econômico,cooperalianca,Grupo Cooperalianca,operacional_2023_plus,REN_1000,40,523939,130,17930.73,5379.218999999999,571161,0.0002481204873086371,22.760657677957703,0.03139347749583742,0.0003473760022056966,False,True
