ano,group_id,distributor_id,sigagente,distributor_name_sig,distributor_name_legal,distributor_label,codigo_base,classe_local,qtd_serv,qtd_fora_prazo,prazo_medio,compensacao_rs,has_qs,has_qv,has_pm,has_cr,taxa_fora_prazo,periodo_regulatorio,ano_comparavel_principal,uc_ativa_media_mensal,bucket_porte,rank_porte_ano,nomagente,fora_prazo_por_100k_uc,compensacao_rs_por_uc
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,PgtoRsc,nao_classificado,2.0,0.0,1.84,0.0,True,True,True,True,0.0,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RclCobr,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RclDano,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,ReanProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RelNorRr,rural,34.0,0.0,10.605,0.0,True,True,True,True,0.0,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RelNorUb,urbana,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RelUrgRr,rural,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,RelUrgUb,urbana,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,ReligIdv,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,ResulRsc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,SubstMed,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,VistRr,rural,201.0,63.0,12.15,940.23,True,True,True,True,0.31343283582089554,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,VistUb,urbana,19.0,3.0,0.635,0.0,True,True,True,True,0.15789473684210525,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,VrfResfr,nao_classificado,1.0,0.0,0.25,0.0,True,True,True,True,0.0,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,VrfRsc,nao_classificado,3.0,2.0,0.75,36.18,True,True,True,True,0.6666666666666666,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,AfedMed,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,AnProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,EstProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Inform,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,LigA,grupo_a,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,LigBRr,grupo_b_rural,15.0,1.0,0.7150000000000001,0.0,True,True,True,True,0.06666666666666667,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,LigBUb,grupo_b_urbana,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Obra,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
2011,cedri,cedri,Cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,PgtoRsc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,,
