group_id,group_label,distributor_id,distributor_label,ano,mes,taxa_fora_prazo,taxa_var_abs,taxa_var_pct,qtd_fora_prazo,compensacao_rs
light,Grupo Light,light,Light — LIGHT SERVIÇOS DE ELETRICIDADE S.A.,2024,1,5.1376641766233686e-05,-0.00017100274374143634,-0.7689685055611342,1823,8396516.80787
mux,Grupo MUX,mux_energia,"Mux Energia — MUXFELDT, MARIN & CIA LTDA",2024,1,0.00013643185228978127,-0.00018401249720818925,-0.5742416662876892,3,523.98
neoenergia,Grupo Neoenergia,neoenergia_brasilia,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2024,1,0.007524518248430703,0.0028742323186877255,0.6180764714496996,4084,6817583.02
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,1,0.00033375130847744646,0.0001144708506397748,0.5220294219036836,1840,1180588.79773975
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro — ELEKTRO REDES S.A.,2025,1,1.6338385686024888e-05,-1.752394135305523e-05,-0.5175055256194016,734,502892.99
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2025,1,0.006005529543221921,0.005670235947658316,16.911256351696903,8895,6894282.01
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2024,1,0.0005417712224459608,0.0004072258537534672,3.0266805740760274,7948,3895370.7328999997
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.00025837630819068054,-0.0002833949142552802,-0.5230896410034913,3921,2667010.1066000005
santa,Grupo Santa,santa_maria,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,2025,1,0.000321857513114282,-0.002132569403767573,-0.868866532182928,57,7844.3099999999995
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2025,1,0.0006554962915072823,0.00040934975792949996,1.6630327958697229,73,18621.350000000002
