group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
ceriluz,Grupo Ceriluz,ceriluz,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,2025,5148,7,296.46,188457,0.0013597513597513598,3.714375162503913,0.0015730909438227286,sem_cod_69_93
cerim,Grupo Cerim,cerim,Cerim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2023,10983,22,103.3,186069,0.0020030956933442595,11.823570825876423,0.000555170393778652,sem_cod_69_93
cerim,Grupo Cerim,cerim,Cerim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2024,10167,19,2143.51,194050,0.001868791187174191,9.79129090440608,0.01104617366658078,sem_cod_69_93
cerim,Grupo Cerim,cerim,Cerim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2025,11348,21,6614.75,202961,0.0018505463517800493,10.346815398032135,0.03259123674006336,sem_cod_69_93
ceripa,Grupo Ceripa,ceripa,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2023,2959,4,0.0,89441,0.0013518080432578573,4.472221911651256,0.0,sem_cod_69_93
ceripa,Grupo Ceripa,ceripa,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2024,3976,2,0.0,94384,0.0005030181086519115,2.1190032208848955,0.0,sem_cod_69_93
ceripa,Grupo Ceripa,ceripa,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2025,4522,3,0.0,75708,0.0006634232640424591,3.962593120938342,0.0,sem_cod_69_93
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2023,3207,4,4.35,84136,0.0012472715933894605,4.754207473614148,5.170200627555386e-05,sem_cod_69_93
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2024,1847,4,66.98,87164,0.002165674066053059,4.589050525446285,0.0007684365104859805,sem_cod_69_93
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2025,2288,14,734.26,89940,0.006118881118881119,15.565932844118302,0.008163887035801646,sem_cod_69_93
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2023,2480,50,0.0,40744,0.020161290322580645,122.71745533084625,0.0,sem_cod_69_93
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2024,1801,28,0.0,42335,0.015546918378678512,66.1391283807724,0.0,sem_cod_69_93
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2025,1996,19,0.0,44123,0.009519038076152305,43.06144187838542,0.0,sem_cod_69_93
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2023,29989,218,52555.5,341076,0.007269332088432425,63.91537369970329,0.15408735882911725,sem_cod_69_93
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2024,24664,177,20364.78,344440,0.007176451508271164,51.387759842062486,0.05912431773313204,sem_cod_69_93
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2025,24576,142,14232.35,348307,0.005777994791666667,40.76863226980796,0.04086151010459164,sem_cod_69_93
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2023,5760,54,1457.5700000000002,193334,0.009375,27.930938169178727,0.007539129175416637,sem_cod_69_93
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2024,6024,88,40854.01,198063,0.014608233731739707,44.430307528412676,0.2062677531896417,sem_cod_69_93
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2025,8945,28,1021.98,184887,0.0031302403577417553,15.144385489515217,0.005527592529490986,sem_cod_69_93
cernhe,Grupo Cernhe,cernhe,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2023,2561,25,0.0,56083,0.009761811792268645,44.576787974965676,0.0,sem_cod_69_93
cernhe,Grupo Cernhe,cernhe,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2024,1392,23,162.41,57247,0.016522988505747127,40.17677782241864,0.0028370045591908748,sem_cod_69_93
cernhe,Grupo Cernhe,cernhe,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2025,3838,3,262.29,57970,0.000781657113079729,5.175090564084871,0.004524581680179404,sem_cod_69_93
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2023,7270,10,0.0,199366,0.001375515818431912,5.015900404281572,0.0,sem_cod_69_93
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2024,7662,6,0.0,208524,0.0007830853563038371,2.8773666340565116,0.0,sem_cod_69_93
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2025,9361,11,0.0,216615,0.0011750881316098707,5.078134016573182,0.0,sem_cod_69_93
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2023,897,2,0.0,24464,0.002229654403567447,8.175277959450622,0.0,sem_cod_69_93
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2024,787,3,114.35,25077,0.0038119440914866584,11.963153487259241,0.004559955337560314,sem_cod_69_93
