group_id,group_label,distributor_id,distributor_label,ano,total_serv,serv_focus,share_serv_focus
cooperativa,Grupo Cooperativa,cemirim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2023,38388,26155.0,0.6813327081379598
cooperativa,Grupo Cooperativa,cemirim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2024,41615,30302.0,0.7281509071248348
cooperativa,Grupo Cooperativa,cemirim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2025,43634,31813.0,0.7290874089013155
cooperativa,Grupo Cooperativa,cerrp,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2023,13528,11679.0,0.8633205204021289
cooperativa,Grupo Cooperativa,cerrp,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2024,15123,13591.0,0.898697348409707
cooperativa,Grupo Cooperativa,cerrp,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2025,13722,12302.0,0.8965165427780207
cooperativa,Grupo Cooperativa,cercos,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2023,3388,0.0,0.0
cooperativa,Grupo Cooperativa,cercos,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2024,3850,0.0,0.0
cooperativa,Grupo Cooperativa,cercos,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2025,3780,176.0,0.04656084656084656
cooperativa,Grupo Cooperativa,cernhe,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2023,7795,5234.0,0.6714560615779346
cooperativa,Grupo Cooperativa,cernhe,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2024,10500,9108.0,0.8674285714285714
cooperativa,Grupo Cooperativa,cernhe,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2025,11372,7534.0,0.6625043967639818
cooperativa,Grupo Cooperativa,cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2023,10707,9710.0,0.9068833473428598
cooperativa,Grupo Cooperativa,cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2024,11044,10339.0,0.9361644331763853
cooperativa,Grupo Cooperativa,cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2025,9988,8944.0,0.89547456948338
cooperativa,Grupo Cooperativa,coopermila,COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2023,932,624.0,0.6695278969957081
cooperativa,Grupo Cooperativa,coopermila,COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2024,1119,830.0,0.741733690795353
cooperativa,Grupo Cooperativa,coopermila,COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2025,658,281.0,0.4270516717325228
cooperativa,Grupo Cooperativa,cergal,COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2023,55241,48663.0,0.8809217791133397
cooperativa,Grupo Cooperativa,cergal,COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2024,49821,42670.0,0.8564661488127496
cooperativa,Grupo Cooperativa,cergal,COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2025,55434,47219.0,0.8518057509831511
cooperativa,Grupo Cooperativa,cerci,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2023,40632,26842.0,0.6606123252608781
cooperativa,Grupo Cooperativa,cerci,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2024,55845,34756.0,0.6223654758707136
cooperativa,Grupo Cooperativa,cerci,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2025,48437,33195.0,0.6853232033362925
cooperativa,Grupo Cooperativa,ceris,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2023,29772,26565.0,0.8922813381700927
cooperativa,Grupo Cooperativa,ceris,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2024,22972,21125.0,0.9195977711997214
cooperativa,Grupo Cooperativa,ceris,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2025,21153,18865.0,0.891835673426937
cooperativa,Grupo Cooperativa,cerpro,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2023,4949,4052.0,0.8187512628813902
cooperativa,Grupo Cooperativa,cerpro,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2024,4506,3719.0,0.8253439857967155
cooperativa,Grupo Cooperativa,cerpro,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2025,3636,2008.0,0.5522552255225522
