group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2025,12,1686,6,332.31,1438.4166666666667,17261,0.0035587188612099642,34.76044261630265,0.019252071143039222,55.385
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2023,12,16732,7,0.0,8629.5,103554,0.0004183600286875448,6.759758193792611,0.0,0.0
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2024,12,35003,25,1971.72,9044.833333333334,108538,0.000714224495043282,23.03340765446203,0.01816617221618235,78.86880000000001
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2025,12,19909,20,1347.21,9033.75,108405,0.0010045707971269276,18.44933351782667,0.012427563304275633,67.3605
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2023,12,30678,154,88.27,16135.916666666666,193631,0.005019883955929331,79.53271945091437,0.0004558670873981955,0.5731818181818181
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2024,12,30545,53,3988.45,16483.083333333332,197797,0.0017351448682272057,26.795148561403863,0.02016436043013797,75.25377358490566
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2025,12,32937,56,13480.23,16540.5,198486,0.0017002155630446002,28.213576776195804,0.06791526858317463,240.71839285714285
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2023,12,128056,102,0.0,73481.75,881781,0.0007965265196476541,11.56749805223746,0.0,0.0
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2024,12,136471,67,10150.78,74934.58333333333,899215,0.0004909467945570854,7.450943322787098,0.011288490516728481,151.50417910447763
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2025,12,164195,164,155224.88,76776.33333333333,921316,0.0009988123877097354,17.80062432433606,0.1684816935774479,946.4931707317073
cooperativa,Grupo Cooperativa,cermissoes,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2023,12,88332,218,52555.5,28423.0,341076,0.002467961780555178,63.91537369970329,0.15408735882911725,241.0802752293578
cooperativa,Grupo Cooperativa,cermissoes,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2024,12,77172,177,20364.78,28703.333333333332,344440,0.0022935779816513763,51.387759842062486,0.05912431773313204,115.05525423728812
