group_id,group_label,distributor_id,distributor_label,classe_local_servico,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_fora_prazo,share_compensacao
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,898604,11775,5768832.16,16078339,0.013103658563727737,73.23517684258306,0.3587952810299621,0.6532231221568845,0.5912381101557143
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,urbana,664503,3903,2964566.7,16078339,0.005873562647572697,24.27489555979632,0.1843826467398156,0.21652058138244756,0.30383356016004504
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,rural,93186,2348,1023807.35,16078339,0.025196917991973045,14.603498533026329,0.06367618881527501,0.13025629646066791,0.10492832968424062
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,0,0,0.0,16078339,,0.0,0.0,0.0,0.0
equatorial,Grupo Equatorial,equatorial_ma,Equatorial MA — EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,1395122,10110,8813832.34,35599644,0.00724667806829797,28.399160396098342,0.24758203593271888,0.41211478884721997,0.37745643030990006
equatorial,Grupo Equatorial,equatorial_ma,Equatorial MA — EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,rural,90764,8635,10134660.379999999,35599644,0.09513683839407695,24.25586053613345,0.2846843181914965,0.3519892385455731,0.4340214996009301
equatorial,Grupo Equatorial,equatorial_ma,Equatorial MA — EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,urbana,1272016,5787,4402102.56,35599644,0.004549471075835524,16.255780535333443,0.12365580285016332,0.2358959726072069,0.1885220700891699
equatorial,Grupo Equatorial,equatorial_ma,Equatorial MA — EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,0,0,0.0,35599644,,0.0,0.0,0.0,0.0
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,2505941,12589,10466721.17,35781240,0.00502366177016937,35.18324127391896,0.2925198000404681,0.6348141798194745,0.43570732591176287
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,urbana,2594949,4849,10671390.21,35781240,0.0018686301734639102,13.551794180414095,0.298239809743877,0.24451616156522615,0.4442272624484241
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,rural,114897,2393,2884255.35,35781240,0.020827349713221407,6.6878621311055735,0.08060803230966843,0.12066965861529928,0.12006541163981306
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,0,0,0.0,35781240,,0.0,0.0,0.0,0.0
equatorial,Grupo Equatorial,equatorial_pi,Equatorial PI — EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,1017056,26109,15904702.76,17821217,0.02567115281754397,146.5051460851411,0.8924588461046179,0.7836069509889252,0.7482155926580117
equatorial,Grupo Equatorial,equatorial_pi,Equatorial PI — EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,urbana,505474,4006,3526341.16,17821217,0.007925234532339943,22.4788239770606,0.19787319575312956,0.12023169963084127,0.16589203085136695
