group_id,group_label,distributor_id,distributor_label,ano_inicio,ano_fim,taxa_inicio,taxa_fim,delta_taxa_abs,delta_taxa_pct,compensacao_inicio,compensacao_fim,delta_comp_abs,delta_comp_pct
cooperalianca,Grupo Cooperalianca,cooperalianca,COOPERALIANÇA,2011,2023,0.10785933443474156,0.0037481897947014226,-0.10411114464004013,-0.9652492775489061,1241.32,1321.07,79.75,0.06424612509264338
coopercocal,Grupo Coopercocal,coopercocal,COOPERCOCAL,2011,2023,0.006160164271047228,0.0007479431563201197,-0.005412221114727108,-0.8785838942907006,22.56,1.85,-20.709999999999997,-0.9179964539007092
cooperluz,Grupo Cooperluz,cooperluz,COOPERLUZ,2011,2023,0.01312910284463895,0.0019357336430507162,-0.011193369201588234,-0.8525616208543038,202.42,19.07,-183.35,-0.9057899417053651
coopermila,Grupo Coopermila,coopermila,COOPERMILA,2011,2023,0.0,0.038461538461538464,0.038461538461538464,,0.0,0.0,0.0,
coopernorte,Grupo Coopernorte,coopernorte,COOPERNORTE,2021,2023,0.10141927853341218,0.05120248254460822,-0.05021679598880396,-0.49514053654266765,14867.54,1125.34,-13742.2,-0.924308930730975
coopersul,Grupo Coopersul,coopersul,COOPERSUL,2022,2023,0.17087542087542087,0.18247515808491419,0.01159973720949331,0.06788417637870969,2596.52,4857.33,2260.81,0.8707077164820607
cooperzem,Grupo Cooperzem,cooperzem,COOPERZEM,2019,2023,0.04871794871794872,0.009933774834437087,-0.03878417388351163,-0.7960962007668178,15841.910000000002,8.25,-15833.660000000002,-0.9994792294615991
coorsel,Grupo Coorsel,coorsel,COORSEL,2011,2023,0.0,0.0450281425891182,0.0450281425891182,,0.0,632.98,632.98,
copel_dis,Grupo Copel DIS,copel_dis,COPEL-DIS,2011,2023,0.0019322682186468838,0.003158322649238563,0.0012260544305916791,0.6345156530340559,32522.9,570505.62,537982.72,16.541658954152304
coprel,Grupo Coprel,coprel,COPREL,2011,2023,0.027037773359840953,0.005270457697642164,-0.02176731566219879,-0.8050705719180876,512.02,1694.65,1182.63,2.3097339947658297
cosern,Grupo Cosern,cosern,COSERN,2011,2023,0.015441251661724102,0.007940376863223025,-0.007500874798501077,-0.48576857387113936,8208.28,173506.24,165297.96,20.1379533836565
cpfl,Grupo CPFL,cpfl_jaguari,CPFL JAGUARI,2011,2023,0.032679738562091505,0.0030525427031239854,-0.02962719585896752,-0.9065921932844061,107.73,19034.690000000002,18926.960000000003,175.68885175902722
cpfl,Grupo CPFL,cpfl_leste_pauli,CPFL LESTE PAULI,2011,2017,0.04774535809018567,0.003602604960509907,-0.04414275312967576,-0.9245454405493203,455.90000000000003,1449.9,994.0,2.180302697960079
cpfl,Grupo CPFL,cpfl_mococa,CPFL MOCOCA,2011,2017,0.04271356783919598,0.0029718943703829497,-0.03974167346881303,-0.930422708269858,945.1299999999999,1037.31,92.18000000000006,0.09753155650545442
cpfl,Grupo CPFL,cpfl_santa_cruz,CPFL SANTA CRUZ,2011,2017,0.0036664695446481372,0.0061217877666558665,0.002455318222007729,0.6696682440992048,1478.25,4348.15,2869.8999999999996,1.9414172163030607
cpfl,Grupo CPFL,cpfl_sul_paulist,CPFL SUL PAULIST,2011,2017,0.022892819979188347,0.00989185398442402,-0.013000965994764326,-0.5679058327712962,597.83,6229.35,5631.52,9.419935433149892
cpfl_paulista,Grupo CPFL Paulista,cpfl_paulista,CPFL-PAULISTA,2011,2023,0.0038077731092436974,0.007580118714795279,0.0037723456055515814,0.9906960045476154,2643.71,1460293.3900000001,1457649.6800000002,551.3651951235197
cpfl_piratining,Grupo CPFL Piratining,cpfl_piratining,CPFL-PIRATINING,2011,2023,0.003266855418313058,0.004981495387255954,0.0017146399689428955,0.5248594594456533,2000.72,335745.00999999995,333744.29,166.8120926466472
creluz_d,Grupo Creluz D,creluz_d,CRELUZ-D,2011,2022,0.02054794520547945,0.0016669192301863919,-0.018881025975293057,-0.9188765974642623,62.84,777.6300000000001,714.7900000000001,11.374761298535965
