group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,meses_faltantes
cpfl,Grupo CPFL,cpfl_santa_cruz,CPFL Santa Cruz — COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2025,12,
creluz_d,Grupo Creluz D,creluz_d,Creluz-D — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2023,12,
creluz_d,Grupo Creluz D,creluz_d,Creluz-D — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2024,12,
creluz_d,Grupo Creluz D,creluz_d,Creluz-D — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2025,12,
creral,Grupo Creral,creral,Creral — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,2023,12,
creral,Grupo Creral,creral,Creral — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,2024,12,
creral,Grupo Creral,creral,Creral — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,2025,12,
dcelt,Grupo Dcelt,dcelt,Dcelt — DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA S/A.,2023,12,
dcelt,Grupo Dcelt,dcelt,Dcelt — DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA S/A.,2024,12,
dcelt,Grupo Dcelt,dcelt,Dcelt — DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA S/A.,2025,11,1
demei,Grupo Demei,demei,Demei — DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,2023,12,
demei,Grupo Demei,demei,Demei — DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,2024,12,
demei,Grupo Demei,demei,Demei — DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,2025,12,
dmed,Grupo DMED,dmed,Dmed — DME DISTRIBUIÇÃO S.A.,2023,12,
dmed,Grupo DMED,dmed,Dmed — DME DISTRIBUIÇÃO S.A.,2024,12,
dmed,Grupo DMED,dmed,Dmed — DME DISTRIBUIÇÃO S.A.,2025,11,2
edp,Grupo EDP,edp_es,EDP ES — EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,2023,12,
edp,Grupo EDP,edp_es,EDP ES — EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,2024,12,
